modality_pair,tissue,within_mean,between_mean,delta,n_within,n_between,within_var,between_var
Accessibility | TFChIP,hela-s3,0.251771014352676,0.09886514057680915,0.15290587377586687,51,19082,0.01825515518023972,0.002823171133016552
Accessibility | TFChIP,hepatocyte,0.08039200347330835,0.07970426768223257,0.0006877357910757831,9,7896,0.0008567412370996874,0.0028657635772651423
Accessibility | TFChIP,hepg2,0.2331719234342202,0.10571268075272995,0.12745924268149023,434,177483,0.024346570215940604,0.0028137644719170487
Accessibility | TFChIP,imr-90,0.2420223389680569,0.09313473541541968,0.1488876035526372,13,12272,0.009682182943550298,0.0020541950854675323
Accessibility | TFChIP,ishikawa,0.24674924995218003,0.09087513762596264,0.1558741123262174,7,7454,0.003106134536216193,0.002060591339079142
Accessibility | TFChIP,k562,0.12767820059812338,0.07696934689097648,0.050708853707146895,1644,334899,0.007104177891839224,0.0016729308136237096
Accessibility | TFChIP,keratinocyte,0.11415723711252213,0.08082425083781464,0.03333298627470749,1,2636,0.0,0.0018124938795299602
Accessibility | TFChIP,liver,0.10943987387958366,0.08703223576140645,0.02240763811817721,68,30900,0.0021824598871140414,0.0017617903532693765
Accessibility | TFChIP,lncap clone fgc,0.20885194092988968,0.07792734596268117,0.1309245949672085,2,4467,0.0008792370961421825,0.0016029575857354006
Accessibility | TFChIP,lower leg skin,0.13708233926445246,0.089884161965435,0.04719817729901746,8,8257,0.0016101585091296902,0.0016656049640727255
Accessibility | TFChIP,mammary epithelial cell,0.08166858367621899,0.08395752277486995,-0.002288939098650966,2,3439,0.0011850970215036873,0.0016214868816498591
Accessibility | TFChIP,mcf 10a,0.4578652789195379,0.09903921657372383,0.35882606234581405,30,13489,0.013225440303104408,0.0030671141265624195
Accessibility | TFChIP,mcf-7,0.2202404584558237,0.08442590432183952,0.1358145541339842,105,86148,0.005921304401632223,0.0017951655737837371
Accessibility | TFChIP,mm.1s,0.07360049864898126,0.05794759546238351,0.015652903186597747,3,4242,0.004747033773310318,0.0019138075489246705
Accessibility | TFChIP,neural progenitor cell,0.18151533852020899,0.0695196486728051,0.11199568984740388,3,4242,0.004693521510927924,0.001414576285350821
Accessibility | TFChIP,oci-ly7,0.07416681572794914,0.06990368498354227,0.004263130744406873,2,3439,0.0068461562644923785,0.002149117328175518
Accessibility | TFChIP,omental fat pad,0.11969954147934914,0.08741087757932421,0.032288663900024925,6,6069,0.0011822386562721447,0.0014111858877220995
Accessibility | TFChIP,ovary,0.16741420095786452,0.10533009036254344,0.06208411059532108,16,10520,0.00219211084747652,0.0021504474095037276
Accessibility | TFChIP,pc-9,0.05122517546017965,0.06027791321950116,-0.009052737759321514,3,4242,0.00175764259258805,0.0018494816777322306
Accessibility | TFChIP,peyer's patch,0.15245825479117533,0.089881054531587,0.06257720025958834,24,12114,0.010045171863206286,0.001790423865875813
Accessibility | TFChIP,prostate gland,0.230892363935709,0.13648469890019255,0.09440766503551645,6,6651,0.006944926179175186,0.0032562728918298055
Accessibility | TFChIP,right atrium auricular region,0.14035893976688385,0.08438752643102951,0.05597141333585434,2,4467,6.79856180241245e-08,0.001504787369218624
Accessibility | TFChIP,right lobe of liver,0.18513743579387665,0.0997792987428752,0.08535813705100145,2,3439,0.008543714519513523,0.002146748440453823
Accessibility | TFChIP,sigmoid colon,0.1273385324825843,0.09489171163258416,0.032446820850000155,30,15681,0.0025291278090537224,0.0027238385352101446
Accessibility | TFChIP,spleen,0.10785421472974122,0.10236534258040719,0.005488872149334023,24,13278,0.0026660001410609684,0.0021524157159346444
Accessibility | TFChIP,stomach,0.15103757062994796,0.1122507526126257,0.03878681801732227,240,45840,0.011107194634586471,0.0030183610199263095
