tissue,m1,m2,delta,n_within,pair
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K79me2,0.19650698857648033,1.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K9ac,0.5106286348835114,1.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H3K9me3,-0.06934055648588236,1.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:H4K20me1,-0.0017740792461803934,1.0,ChIP-seq:H3K4me2 x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:GABPA,0.07435243373567407,1.0,ChIP-seq:GABPA x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:JUND,0.11838855766333067,1.0,ChIP-seq:H3K4me2 x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:MYC,0.12767992168664932,1.0,ChIP-seq:H3K4me2 x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:POLR2A,0.0845227867558405,2.0,ChIP-seq:H3K4me2 x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:RAD21,0.07269040667093717,1.0,ChIP-seq:H3K4me2 x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:REST,0.09152776434233315,2.0,ChIP-seq:H3K4me2 x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:TAF1,0.017659249529242516,1.0,ChIP-seq:H3K4me2 x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K4me2,ChIP-seq:YY1,0.08852840272279885,1.0,ChIP-seq:H3K4me2 x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K4me2,polyA plus RNA-seq,0.036513763733885506,8.0,ChIP-seq:H3K4me2 x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K27ac,0.42150834358682904,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:CTCF,0.035788000954522024,9.0,ChIP-seq:CTCF x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,DNase-seq,0.04566152264424064,3.0,ChIP-seq:H3K4me3 x DNase-seq
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H2AFZ,0.21877208984259405,3.0,ChIP-seq:H2AFZ x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K27me3,-0.018270598941540653,3.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K4me1,-0.0066480575099823955,3.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K4me2,0.45150398698627436,3.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K79me2,0.1616727556501116,3.0,ChIP-seq:H3K4me3 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K9ac,0.542201414757732,3.0,ChIP-seq:H3K4me3 x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H3K9me3,0.0366580884908865,3.0,ChIP-seq:H3K4me3 x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:H4K20me1,-0.0009649469738914826,3.0,ChIP-seq:H3K4me3 x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:GABPA,0.09872117367657748,3.0,ChIP-seq:GABPA x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:JUND,0.11352616548538208,3.0,ChIP-seq:H3K4me3 x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:MYC,0.08874802788098654,3.0,ChIP-seq:H3K4me3 x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:POLR2A,0.12597691290306323,6.0,ChIP-seq:H3K4me3 x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:RAD21,0.04917048299923922,3.0,ChIP-seq:H3K4me3 x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:REST,0.11859139800071716,6.0,ChIP-seq:H3K4me3 x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:TAF1,0.14654942353566486,3.0,ChIP-seq:H3K4me3 x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K4me3,ChIP-seq:YY1,0.13687902536147678,3.0,ChIP-seq:H3K4me3 x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K4me3,polyA plus RNA-seq,0.04248958886271776,24.0,ChIP-seq:H3K4me3 x polyA plus RNA-seq
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K27ac,0.14623756392654283,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K79me2
